PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
21,36.5,1.2,26.8,15.2,12.25,3.6,0.51,46.47,0.2,0.4,22.2,86,1.65,85.5,714
18,33,0.95,23.75,13.4,12.05,2.9,0.47,41.85,0.2,0.4,22.3,86.5,1.8,82.5,713
13,23,1,25.8,14.53,12.83,2.27,0.43,31.05,0.17,0.37,26.43,87.67,2.1,73,713
9.33,17,0.53,26.6,14.6,12.33,3.45,0.36,32.32,0.2,0.4,26.97,88,2.1,76,712
8.5,14,0.78,24.7,13.78,12.6,3.6,0.33,31.24,0.2,0.4,27.02,90.75,1.88,75.25,711.25
10,11,0.6,23.8,13.17,12.37,3.55,0.3,32.07,0.2,0.37,26.97,90.33,1.93,78,710.33
11,15,0.73,16.83,9.57,12.78,3.08,0.33,31.9,0.2,0.43,23.65,89.75,1.38,85.5,710
11.25,14.5,0.57,17.8,9.93,12.1,2.67,0.31,33.1,0.2,0.4,22.58,90.5,1.38,77.25,710
12,16,0.1,26.2,14,12.7,2.7,0.32,29.55,0.2,0.35,22,92.5,1.45,74.5,710
21,26,0.7,27,14.9,13.9,3.1,0.41,24.23,0.2,0.4,23.8,94,1.3,84,711
21,26,0.75,29.6,16.35,13.85,1.85,0.41,32.43,0.2,0.35,25.9,94,1.55,74.5,712
16,26.5,1,31.2,17.4,12.12,3.37,0.43,31.62,0.2,0.45,27.2,88.25,1.73,84.25,712.75
16,34,0.43,28.77,15.63,12.17,3.4,0.38,33.17,0.2,0.43,26.9,80.33,2.1,84.33,713
11.33,26,0.77,30.33,16.77,15.6,3.7,0.48,38.23,0.2,0.43,29.03,82,1.8,87.33,712.67
14,24.5,0.35,40.75,21.95,19.05,1.8,0.41,50.83,0.25,0.5,32.45,72.5,1.95,103,711.5
17,26,0.77,32.87,18.13,12.2,3.95,0.22,45.84,0.2,0.43,25.77,74.67,1.7,87.67,711
15,32,1,33.1,18.4,21.2,2.5,0.69,42.57,0.3,0.6,31.7,83,1,113,710
11,24,0.8,31.5,17.35,12,0.9,0.24,55.45,0.2,0.5,23.15,80.5,1.6,98,709
12,18,0.9,33.8,18.7,24.6,None,0.71,46.41,0.3,0.65,35.45,84.5,0.65,128,709
1,28,0.93,39.23,21.67,10.63,None,0.46,61.89,0.17,0.33,20.43,86,1.07,70,709
1,28,0.4,37.5,20.3,10.75,0.1,0.54,52.9,0.2,0.45,21.7,87,1.85,88,710
7,22.5,1,27.15,15.25,10.75,1.7,0.44,49.55,0.2,0.43,23.48,88,1.4,83.5,710.75
10,14.5,0.75,40.25,22,11.4,3.2,0.56,47.61,0.2,0.4,27.95,88.5,1.05,79.5,712
11,16.67,0.63,40.4,21.97,11.37,1.4,0.53,50.07,0.2,0.43,27.63,89,1,83.67,712.33
13.67,16.67,1.03,41.87,23.07,11.7,0.93,0.47,50.12,0.2,0.4,27.6,89,0.97,74.67,713
15.5,18,0.8,42.4,23.25,11.45,1.45,0.5,48.25,0.2,0.45,27.2,90,0.9,84,712
14,18,0.2,28.4,15.2,12.33,0.7,0.44,53.27,0.2,0.43,24.03,90,1.53,86.33,712
8,17,0.95,20.45,11.65,11.35,0.9,0.26,49.38,0.2,0.5,23.6,90,1.35,93,712
7,14.75,0.65,19.97,11.17,11.2,0.9,0.23,50.02,0.2,0.45,22.88,90,1.2,89.5,711
10,11,1,20.63,11.8,11.4,1.2,0.26,44.58,0.2,0.43,24.3,90,1.07,82.33,710.33
None,None,0.8,27.47,15.27,11.53,1.57,0.29,47.84,0.2,0.43,27.5,90,0.97,79.33,710
None,None,0.57,28.83,15.8,11.07,1.35,0.25,50.56,0.2,0.4,27.57,90,0.93,80,710
8,12,0.9,33.4,18.5,18.4,1.5,0.34,43.67,0.2,0.45,29.5,91,1,85.5,710.5
8,12,1.15,37.75,21.05,23.85,None,0.57,47.41,0.2,0.4,33.65,91.5,0.8,78,711
None,None,None,None,None,None,0.3,0.55,48.26,0.17,0.33,39.15,91,1.15,72.5,712
None,None,None,None,None,None,None,0.59,49.75,0.2,0.4,None,90.67,1.2,75.67,712
6,28,2.9,48.4,28.1,14.7,1.4,0.45,65.94,0.15,0.32,35.1,90,1.4,67,712
7,28,1.2,47.12,25.77,10.77,2.53,0.71,52.76,0.2,0.38,27.18,88,1.47,82,711.5
10.25,27.75,0.53,30.77,16.78,9.32,0.68,0.62,50.55,0.2,0.38,21.48,81.5,2.05,79.75,710.25
16,31,0.5,33.25,18.1,9,3.55,0.58,39.84,0.2,0.4,22.45,74.5,2.25,81,709
21,35,1.45,30.25,17.25,9.4,4.35,0.55,47.58,0.2,0.4,22.15,76.5,1.95,75,709
15,33.5,1.1,33.5,18.75,9.25,2.9,0.54,46.64,0.2,0.45,21.1,72,2,90.5,708
13,26.67,0.97,38.27,21.13,9.97,2.67,0.62,45.9,0.2,0.47,26.13,69.67,2.03,92.67,707.33
13.5,23.25,0.47,40.65,21.85,10.15,2.37,0.65,47.6,0.2,0.47,26.95,70.75,1.62,89.5,707
15.67,27.67,0.57,41.27,22.4,10.83,2.3,0.71,39.88,0.2,0.43,26.97,73,1.73,83.67,708
17.67,30,0.63,45.6,24.77,11.2,2.7,0.83,31.54,0.2,0.43,26.93,77.33,1.47,81,708
18.75,35,0.95,39.4,21.73,12.23,2.02,0.99,33.65,0.2,0.4,23.58,80.5,1.35,78.5,709.5
18.75,44.25,1.02,39.03,21.58,11.85,1.9,1.02,33.1,0.2,0.38,22.75,82.75,1.4,76.25,710.5
21,45,0.7,39.23,21.43,12,2.13,0.99,29.45,0.2,0.37,22.47,84,1.4,76.33,711
28,41,1.33,39.2,21.93,12,1.85,1.01,31.16,0.2,0.33,22.67,85,1.2,71.33,710.33
27.67,38.67,1.07,40.17,22.23,12.4,1.8,0.99,33.29,0.2,0.43,26.77,86,1.4,79.33,710
22,28.75,0.72,40.7,22.25,12.22,0.8,0.41,31.77,0.2,0.43,27.05,86,1.43,82,709.5
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,21,1,39.9,22,12.2,None,0.35,30.99,0.2,0.4,27,86,1.2,74,708
26,33,0.45,29.33,15.83,13.03,1.27,0.32,37.73,0.2,0.4,23.97,86,1.33,81,708
23,30.5,1.23,27.4,15.57,12.4,2.03,0.3,34.26,0.2,0.4,22.48,86,1.2,76.75,708
24.33,28.67,1.3,29.4,16.7,12.9,1.35,0.31,28.32,0.2,0.4,23,86,1.07,79,708
27.5,33.5,1.05,30.5,17.1,13.5,1.9,0.33,36.24,0.2,0.4,21.8,86,1.3,81,709
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21,37.75,0.68,41.8,22.8,11.55,0.75,0.29,31.57,0.25,0.55,26.9,70.25,1.6,105.75,712
21,37,0.65,40.7,22.15,11.6,1.15,0.23,31.67,0.2,0.5,26.9,68,1.75,92,711
21.25,36,1,27.8,15.6,12,1.3,0.19,30.13,0.3,0.58,22.35,76,1.73,110.75,710
20.67,37,0.67,32.7,17.93,11.5,1.6,0.22,34.7,0.27,0.57,21.83,72,1.67,110.67,708.67
18.25,31.25,0.72,35.07,19.23,11.05,1.4,0.36,43.38,0.2,0.47,21.32,64.5,1.58,95,708
19,26,0.6,31.6,17.3,10.8,1.2,0.44,55.37,0.2,0.4,21.2,62,1.7,85,708
15,19,0.5,34.57,18.8,11.53,1.75,0.51,47.21,0.2,0.43,26.27,61.33,1.93,87.33,707
12,28,0.65,36.2,19.75,11.2,2.1,0.55,55.77,0.25,0.5,26.9,69,1.55,106,708
21,30,1.2,38.2,21.3,12.1,2.6,0.69,47.77,0.2,0.4,26.9,75,1,78,709
21.33,35,0.9,40.8,22.43,12.2,2.77,0.84,49.82,0.2,0.43,26.57,77,0.83,88.67,709.67
22,45,0.8,34.1,18.8,12.7,3.4,0.96,43.12,0.2,0.5,22.6,79,0.9,95,711
22.5,41.5,0.9,36.75,20.3,11.9,2.45,0.99,30.63,0.2,0.4,22.05,81.5,1.5,84,711.5
26,43,0.95,33.65,18.7,12,1.65,0.94,35.48,0.2,0.35,22.15,83.5,1.3,77,711
26,37,0.95,33.6,18.6,11.8,1.7,0.9,30.87,0.2,0.4,22.2,85,1.85,74,711
23,32.67,0.9,36,19.9,12.37,2.3,0.51,31.01,0.2,0.4,27.17,85,1.37,79.67,710.33
21.33,27.67,0.67,36.9,20.13,12.2,1.77,0.45,33.95,0.2,0.37,27,85,1.7,72.33,710
20.5,22.75,0.7,35.67,19.55,12.08,2.93,0.4,31.88,0.2,0.43,27,85,1.58,83,710
17,21.67,0.7,34.97,19.13,11.53,3.07,0.4,32.85,0.2,0.33,26.73,85,1.73,71,709
19,21,0.87,21.47,12.1,12.5,2.1,0.33,32.86,0.2,0.4,23.47,85,1.47,78,709
20.33,26,0.6,24.7,13.25,12.1,1.35,0.37,32.31,0.2,0.4,22.3,85,1.93,77,709
24,30.67,0.8,25.63,14.3,12.63,1.2,0.4,36.27,0.2,0.4,21.87,85,1.73,81,709.67
18,32,1,27.27,15.33,12.53,1.07,0.45,33.99,0.2,0.4,22.57,85,1.5,79,710
22,30.5,0.65,34.8,19.05,11.92,1.37,0.55,31.35,0.2,0.4,26.45,83.25,1.55,79.75,711.25
22.67,36.33,0.67,38.77,21.17,12.07,1.47,0.54,32.95,0.23,0.53,27.33,84,1.47,101.67,712
25,37,0.5,38.4,20.8,11.75,1.55,0.57,32.87,0.2,0.5,27.05,78,1.05,97.5,712
26,41,0.4,39.65,21.4,11.6,1,0.61,31.19,0.25,0.55,26.95,73.5,1.2,118,711.5
22.33,35,0.57,26.63,14.63,12.2,2.2,0.64,32.28,0.23,0.5,22.47,71,1.27,98.33,710.33
19,34.33,0.87,28.43,15.8,11.27,1.87,0.66,31.9,0.27,0.53,22.07,67.67,1,105.33,709.33
15,29,0.45,32.35,17.55,13.55,3,0.83,27.71,0.25,0.55,26.05,70,1.2,110.5,709
18.25,31,0.82,32.35,17.9,10.82,2.43,0.72,34.27,0.27,0.57,20.88,71,1.25,109,708.5
22,37.33,0.97,36.03,19.97,11.27,0.67,0.78,32.23,0.2,0.37,23.57,67,1.67,74.33,709
21.67,41.33,0.63,42.27,23,11.57,1.17,0.85,30.37,0.2,0.5,26.77,69,1.03,91.33,709.33
24,52,0.4,46.3,24.7,11.6,2.5,0.92,31.27,0.2,0.45,26.85,73.5,0.55,87,710
39,99,4,64,37.3,12.2,2.8,1.89,31.91,0.4,0.9,26.8,79,0.5,183,712
44.5,105,2.07,80.88,43.93,12.7,3.93,2.29,31.51,0.22,0.4,26.52,80.25,0.6,88.5,712
48,100,0.75,68.95,37.25,12.65,3.8,2.1,34.7,0.1,0.3,22.1,80,0.85,55.5,712
36.33,74.33,0.6,57.27,30.97,12.1,1.47,1.63,32.07,0.2,0.37,22.73,81.67,1.1,73.33,712
